FAMÍLIA;SUB-FAMÍLIA;CODIGO SINAPI;DESCRIÇÃO;FABRICANTE DE REFERÊNCIA;UN.;PREÇO MÉDIO R$;DATA DE ATUALIZAÇÃO;FONTE DO PREÇO MÉDIO
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barra de Equipotencialização 1.1/4X1/4  155mm, Com 5 Parafusos 1/4"" e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;107,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-parafusos-de-14-1003
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barra de Equipotencialização 1.1/4X1/4"" 230mm, Com 9 Terminais de Pressão e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;246,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-terminais-de-pressao-1011
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barra de Equipotencialização 1.1/4X1/8  155mm, Com 5 Parafusos 1/4"" e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;73,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-parafusos-de-14
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barra de Equipotencialização 1.1/4X1/8 230mm, Com 11 Parafusos 1/4"" e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;104,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-parafusos-de-14-1004
ATERRAMENTO;BEP;NÃO ENCONTRADO;Barra de Equipotencialização 1.1/4X3/16  155mm, Com 5 Terminais de Pressão e Base de Fixação em Alumínio;KAPPLAN ENERGY;un.;136,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-terminais-de-pressao
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barra de Equipotencialização 1.1/4X3/16 230mm, Com 9 Parafusos 1/4"" e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;130,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-parafusos-de-14-1005
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barra de Equipotencialização 1.1/4X3/16""  155mm, Com 5 Parafusos 1/4"" e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;90,99;11/12/2025;https://www.kapplanenergy.com.br/barramento-de-equipotencializacao/barra-de-equipotencializacao-1-14x316-155mm-com-5-parafusos-14-e-base-de-fixacao-em-aluminio
ATERRAMENTO;BEP;NÃO ENCONTRADO;Barramento de Equipotencialização 1.1/4X1/4 155mm, Com 5 Terminais de Pressão e Base de Fixação em Alumínio;KAPPLAN ENERGY;un.;151,7;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-terminais-de-pressao-1008
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barramento de Equipotencialização 1.1/4X1/4"" 230mm, Com 9 Parafusos 1/4"" e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;155,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-terminais-de-pressao-1010
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barramento de Equipotencialização 1.1/4X3/16"" 230mm, Com 9 Terminais de Pressão e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;222,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-parafusos-de-14-1002
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 101,6 X 6,35 X 385mm 26 Furos Ø 10mm;TEL-935;un.;;;-
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 38,1 X 4,76 X 130mm 8 Furos Ø 8,5mm;TEL-931;un.;;;-
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 38,1 X 4,76 X 200mm 12 Furos Ø 10mm;TEL-932;un.;;;-
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 63,5 X 6,35 X 300mm 7 Furos Ø 7mm;TEL-930;un.;;;-
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 63,5 X 6,35 X 360mm 18 Furos Ø 9mm;TEL-933;un.;;;-
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 63,5 X 6,35 X 420mm 22 Furos Ø 11,1mm;TEL-934;un.;;;-
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 76,2 X 6,35 X 360mm 24 Furos Ø 10,5mm;TEL-936;un.;;;-
ATERRAMENTO;CABO;862;Cabo de Cobre NU 10 mm2 Meio-Duro;-;m;11,73;dez/24;SINAPI 2024
ATERRAMENTO;CABO;866;Cabo de Cobre NU 120 mm2 Meio-Duro;-;m;149,1;dez/24;SINAPI 2024
ATERRAMENTO;CABO;892;Cabo de Cobre NU 150 mm2 Meio-Duro;-;m;180,48;dez/24;SINAPI 2024
ATERRAMENTO;CABO;857;Cabo de Cobre NU 16 mm2 Meio-Duro;-;m;19,63;dez/24;SINAPI 2024
ATERRAMENTO;CABO;37404;Cabo de Cobre NU 185 mm2 Meio-Duro;-;m;208,81;dez/24;SINAPI 2024
ATERRAMENTO;CABO;NÃO ENCONTRADO;Cabo de Cobre NU 240 mm2 Meio-Duro;-;m;449,71;07/01/2026;https://loja.eletromw.com.br/produto/cabo-de-cobre-nu-240mm-19-fios-normatizado/
ATERRAMENTO;CABO;868;Cabo de Cobre NU 25 mm2 Meio-Duro;-;m;27,97;dez/24;SINAPI 2024
